uo_id,pidm,id_bl,cohort,id_eoy_2223
951480825,4184837,445,1516,NA
951506561,4229994,446,1516,NA
951496474,4210668,447,1516,NA
951481529,4185542,448,1516,NA
951480117,4183489,449,1516,NA
951477410,4179556,450,1516,NA
951510108,4239341,451,1516,NA
951476497,4178133,452,1516,NA
951470854,4170230,453,1516,NA
951503756,4223954,454,1516,NA
951480655,4184187,455,1516,NA
951492475,4204009,456,1516,NA
951498247,4213420,457,1516,NA
951475351,4176365,458,1516,NA
951492787,4204321,459,1516,NA
951471744,4171452,460,1516,NA
951477406,4179552,461,1516,NA
951453580,4149418,462,1516,NA
951444667,4138652,463,1516,NA
951476821,4178620,464,1516,NA
951480654,4184186,465,1516,NA
951481253,4185266,466,1516,NA
951485325,4192180,467,1516,NA
951460070,4157690,468,1516,NA
951475893,4177127,469,1516,NA
951484390,4191224,470,1516,NA
951485036,4191870,471,1516,NA
951453708,4149546,472,1516,NA
951486611,4195587,473,1516,NA
951498274,4213907,474,1516,NA
951479840,4183050,475,1516,NA
951481066,4185078,476,1516,NA
951491558,4202598,477,1516,NA
951502208,4220529,478,1516,NA
951464641,4162738,479,1516,NA
951494062,4207120,480,1516,NA
951496804,4211189,481,1516,NA
951505753,4228285,482,1516,NA
951499919,4216512,483,1516,NA
951510080,4239313,484,1516,NA
951480759,4184771,485,1516,NA
951464075,4162172,486,1516,NA
951453979,4149796,487,1516,NA
951460839,4158555,488,1516,NA
951482418,4187700,489,1516,NA
951467242,4165681,490,1516,NA
951467432,4165878,491,1516,NA
951480584,4184116,492,1516,NA
951479697,4182825,493,1516,NA
951468101,4166565,494,1516,NA
951481089,4185101,495,1516,NA
951467476,4165923,496,1516,NA
951495492,4209149,497,1516,NA
951497745,4212462,498,1516,NA
951499585,4215907,499,1516,NA
951454493,4150585,500,1516,NA
951464581,4162678,501,1516,NA
951505974,4228506,502,1516,NA
951502128,4220449,503,1516,NA
951487735,4197206,504,1516,NA
951467557,4166004,505,1516,NA
951470457,4169621,506,1516,NA
951463002,4161099,507,1516,NA
951500030,4216623,508,1516,NA
951462937,4161034,509,1516,NA
951484731,4191565,510,1516,NA
951401250,4062787,511,1516,NA
951478647,4181235,512,1516,NA
951463609,4161706,513,1516,NA
951480109,4183481,514,1516,NA
951468037,4166485,515,1516,NA
951473999,4174401,516,1516,NA
951507652,4231960,517,1516,NA
951472144,4171961,518,1516,NA
951480692,4184224,519,1516,NA
951485280,4192135,520,1516,NA
951480457,4183982,521,1516,NA
951463369,4161466,522,1516,NA
951462848,4160945,523,1516,NA
951508343,4234434,524,1516,NA
951486551,4195456,525,1516,NA
951493087,4204626,526,1516,NA
951477174,4179159,527,1516,NA
951486066,4194852,528,1516,NA
951492072,4203604,529,1516,NA
951497807,4212524,530,1516,NA
951480360,4183881,531,1516,NA
951475899,4177133,532,1516,NA
951460601,4158325,533,1516,NA
951492963,4204474,534,1516,NA
951467477,4165924,535,1516,NA
951502865,4221593,536,1516,NA
951463197,4161294,537,1516,NA
951504618,4225667,538,1516,NA
951467935,4166383,539,1516,NA
NA,NA,540,1516,NA
NA,NA,541,1516,NA
951483717,4188957,542,1516,NA
951484352,4190263,543,1516,NA
951483110,4187826,544,1516,NA
951483252,4187971,545,1516,NA
951473786,4174121,546,1516,NA
951402333,4063967,547,1617,1608
951404754,4066841,548,1617,NA
951466831,4165265,549,1617,NA
951466889,4165323,550,1617,NA
951466901,4165335,551,1617,NA
951466932,4165366,552,1617,NA
951466978,4165412,553,1617,NA
951466998,4165432,554,1617,NA
951467100,4165534,555,1617,NA
951467247,4165686,556,1617,NA
951469325,4168149,557,1617,NA
951470504,4169740,558,1617,NA
951483134,4187850,559,1617,NA
951484313,4190224,560,1617,NA
951500290,4216889,561,1617,NA
951500552,4217400,562,1617,NA
951504647,4225704,563,1617,NA
951508128,4234211,564,1617,NA
951508725,4234816,565,1617,NA
951509760,4237777,566,1617,NA
951516007,4248205,567,1617,NA
951516010,4248208,568,1617,NA
951516018,4248216,569,1617,NA
951517303,4250271,570,1617,NA
951518283,4251658,571,1617,NA
951518761,4252154,572,1617,NA
951518843,4252236,573,1617,NA
951519033,4252453,574,1617,NA
951520964,4255320,575,1617,NA
951521003,4255359,576,1617,NA
951521075,4255431,577,1617,NA
951521095,4255451,578,1617,NA
951521149,4255505,579,1617,NA
951521249,4255605,580,1617,NA
951521283,4255639,581,1617,NA
951521388,4255744,582,1617,NA
951521429,4255785,583,1617,NA
951521432,4255788,584,1617,NA
951521676,4256089,585,1617,NA
951521894,4256307,586,1617,NA
951524957,4259795,587,1617,NA
951525369,4260206,588,1617,NA
951525475,4260312,589,1617,NA
951525859,4260694,590,1617,NA
951526081,4260916,591,1617,NA
951526102,4260937,592,1617,NA
951526245,4261080,593,1617,NA
951526291,4261126,594,1617,NA
951526317,4261152,595,1617,NA
951527259,4262092,596,1617,NA
951527564,4262397,597,1617,NA
951527635,4262468,598,1617,NA
951527661,4262494,599,1617,NA
951527781,4262614,600,1617,NA
951527927,4262760,601,1617,NA
951528260,4263096,602,1617,NA
951530738,4266657,603,1617,NA
951530826,4266745,604,1617,NA
951530904,4266823,605,1617,NA
951531074,4266993,606,1617,NA
951531688,4267744,607,1617,NA
951531736,4267792,608,1617,NA
951531755,4267811,609,1617,NA
951531814,4267870,610,1617,NA
951531827,4267883,611,1617,NA
951531876,4267932,612,1617,NA
951531929,4267985,613,1617,NA
951531930,4267986,614,1617,NA
951531950,4268006,615,1617,NA
951531951,4268007,616,1617,NA
951531988,4268044,617,1617,NA
951531998,4268054,618,1617,NA
951532096,4268152,619,1617,NA
951532118,4268174,620,1617,NA
951532133,4268189,621,1617,NA
951532159,4268215,622,1617,NA
951532723,4268915,623,1617,NA
951532913,4269105,624,1617,NA
951532920,4269112,625,1617,NA
951532989,4269181,626,1617,NA
951533319,4269511,627,1617,NA
951533490,4269682,628,1617,NA
951533722,4269914,629,1617,NA
951533848,4270054,630,1617,NA
951534818,4271287,631,1617,NA
951534915,4271384,632,1617,NA
951535031,4271500,633,1617,NA
951535035,4271504,634,1617,NA
951535091,4271560,635,1617,NA
951535119,4271588,636,1617,NA
951535141,4271610,637,1617,NA
951535246,4271715,638,1617,NA
951535291,4271760,639,1617,NA
951535299,4271768,640,1617,NA
951535440,4271909,641,1617,NA
951535567,4272036,642,1617,NA
951535667,4272136,643,1617,NA
951535913,4272382,644,1617,NA
951535925,4272394,645,1617,NA
951535973,4272442,646,1617,NA
951536059,4272528,647,1617,NA
951536162,4272631,648,1617,NA
951536418,4272887,649,1617,NA
951536507,4272976,650,1617,NA
951536523,4272992,651,1617,NA
951536597,4273066,652,1617,NA
951536723,4273192,653,1617,NA
951536883,4273352,654,1617,NA
951536990,4273459,655,1617,NA
951537090,4273559,656,1617,NA
951537134,4273603,657,1617,NA
951537184,4273653,658,1617,NA
951537186,4273655,659,1617,NA
951537284,4273753,660,1617,NA
951537538,4274007,661,1617,NA
951537563,4274032,662,1617,NA
951537583,4274052,663,1617,NA
951537637,4274106,664,1617,NA
951537657,4274126,665,1617,NA
951537791,4274260,666,1617,NA
951538151,4274620,667,1617,NA
951538154,4274623,668,1617,NA
951538307,4274776,669,1617,NA
951538827,4275466,670,1617,NA
951538916,4275584,671,1617,NA
951538948,4275616,672,1617,NA
951538970,4275638,673,1617,NA
951539127,4275795,674,1617,NA
951539139,4275807,675,1617,NA
951539160,4275828,676,1617,NA
951539162,4275830,677,1617,NA
951539169,4275837,678,1617,NA
951539180,4275848,679,1617,NA
951539215,4275883,680,1617,NA
951539225,4275893,681,1617,NA
951539237,4275905,682,1617,NA
951539298,4275966,683,1617,NA
951539344,4276012,684,1617,NA
951539359,4276027,685,1617,NA
951539399,4276067,686,1617,NA
951539558,4276226,687,1617,NA
951539560,4276228,688,1617,NA
951539584,4276252,689,1617,NA
951539588,4276256,690,1617,NA
951540288,4277084,691,1617,NA
951540307,4277103,692,1617,NA
951540365,4277161,693,1617,NA
951540676,4277472,694,1617,NA
951540928,4277724,695,1617,NA
951540950,4277746,696,1617,NA
951540969,4277766,697,1617,NA
951540987,4277785,698,1617,NA
951541101,4277913,699,1617,NA
951541890,4278860,700,1617,NA
951541991,4278961,701,1617,NA
951542147,4279122,702,1617,NA
951542404,4279479,703,1617,NA
951542615,4279741,704,1617,NA
951542648,4279774,705,1617,NA
951542733,4279859,706,1617,NA
951544903,4282947,707,1617,NA
951544938,4283013,708,1617,NA
951545038,4283213,709,1617,NA
951545239,4283540,710,1617,NA
951545305,4283610,711,1617,NA
951545371,4283757,712,1617,NA
951545418,4283798,713,1617,NA
951545494,4283924,714,1617,NA
951545552,4283982,715,1617,NA
951545642,4284146,716,1617,NA
951545710,4284217,717,1617,NA
951545843,4284393,718,1617,NA
951545918,4284572,719,1617,NA
951545932,4284586,720,1617,NA
951545953,4284607,721,1617,NA
951545957,4284611,722,1617,NA
951546191,4284971,723,1617,NA
951546267,4285052,724,1617,NA
951546381,4285231,725,1617,NA
951546391,4285241,726,1617,NA
951546461,4285366,727,1617,NA
951546493,4285398,728,1617,NA
951546531,4285442,729,1617,NA
951546555,4285478,730,1617,NA
951546589,4285513,731,1617,NA
951546592,4285516,732,1617,NA
951546832,4285974,733,1617,NA
951546855,4285999,734,1617,NA
951546964,4286170,735,1617,NA
951546966,4286172,736,1617,NA
951547564,4286920,737,1617,NA
951547580,4286936,738,1617,NA
951547696,4287064,739,1617,NA
951547737,4287105,740,1617,NA
951547771,4287268,741,1617,NA
951547809,4287310,742,1617,NA
951547985,4287497,743,1617,NA
951547996,4287508,744,1617,NA
951548009,4287521,745,1617,NA
951548120,4287908,746,1617,NA
951548132,4287920,747,1617,NA
951548278,4288140,748,1617,NA
951548423,4288286,749,1617,NA
951548426,4288289,750,1617,NA
951548511,4288457,751,1617,NA
951548513,4288459,752,1617,NA
951548592,4288538,753,1617,NA
951548594,4288540,754,1617,NA
951548604,4288550,755,1617,NA
951548755,4288776,756,1617,NA
951548908,4288933,757,1617,NA
951548941,4288966,758,1617,NA
951548948,4288973,759,1617,NA
951548958,4288983,760,1617,NA
951549045,4289276,761,1617,NA
951549091,4289325,762,1617,NA
951549149,4289506,763,1617,NA
951549155,4289512,764,1617,NA
951549349,4289823,765,1617,NA
951549510,4289989,766,1617,NA
951549544,4290023,767,1617,NA
951549557,4290036,768,1617,NA
951549560,4290039,769,1617,NA
951549710,4290345,770,1617,NA
951549735,4290370,771,1617,NA
951550084,4290860,772,1617,NA
951550139,4290915,773,1617,NA
951550147,4290923,774,1617,NA
951550148,4290924,775,1617,NA
951550217,4291316,776,1617,NA
951550244,4291343,777,1617,NA
951550294,4291394,778,1617,NA
951550575,4291853,779,1617,NA
951550723,4292123,780,1617,NA
951550919,4292323,781,1617,NA
951550927,4292331,782,1617,NA
951550986,4292390,783,1617,NA
951550987,4292391,784,1617,NA
951550989,4292393,785,1617,NA
